time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
29-5-2021 17:1:36,1622322096.8294566,1000.0,95.7,5482.57,2004.98,11757.02,21.3,126376375,137015361,0.0005600278591253636,0.00035905943157770386,0,0,6.437860666964693,88846,481,0,602112,49092082,745394,469.87,206.25,0.02,0.08
29-5-2021 17:1:41,1622322101.8312378,1000.0,86.0,5495.63,2010.46,11758.45,21.3,126675007,137177077,0.0005970513034339926,0.0003233168199862424,0,0,6.435002888397623,89857,482,0,602112,49167175,746497,475.39,208.99,0.02,0.08
29-5-2021 17:1:46,1622322106.8374012,1000.0,89.2,5508.4,2015.72,11760.16,21.4,127051657,137367969,0.0007523725715947963,0.00038131396505210104,0,0,6.433369872073584,90872,485,0,602112,49244475,749806,482.43,211.89,0.02,0.08
29-5-2021 17:1:51,1622322111.848245,1000.0,97.5,5521.88,2021.35,11761.04,21.2,127434818,137544904,0.0007646636351578593,0.0003531042049860394,0,0,6.542271648182964,91889,489,0,602112,49322947,754218,488.53,215.13,0.02,0.08
29-5-2021 17:1:56,1622322116.8515995,1000.0,98.8,5534.36,2026.55,11763.11,21.3,127694839,137707360,0.0005196933326077561,0.0003246941594799098,0,0,6.539515933136146,92902,491,0,602112,49399130,756424,494.21,218.31,0.02,0.08
29-5-2021 17:2:1,1622322121.8579843,1000.0,98.8,5546.27,2031.53,11766.16,21.3,127991365,137879306,0.000592295656269317,0.00034345342031688277,0,0,6.541863394101953,93915,493,0,602112,49475327,758630,499.27,220.28,0.02,0.08
29-5-2021 17:2:6,1622322126.858092,1000.0,98.5,5558.85,2036.88,11767.72,21.4,128258570,138042025,0.0005343984820883797,0.00032543098597308826,0,0,6.5321673596779695,94922,495,0,602112,49551190,760836,505.1,222.86,0.02,0.08
29-5-2021 17:2:11,1622322131.8710527,1000.0,98.0,5572.41,2042.14,11768.82,21.5,128707297,138320024,0.0008951336930937638,0.0005545605045971676,0,0,6.564521495598,95935,497,0,602112,49627408,763042,510.63,225.55,0.02,0.08
29-5-2021 17:2:16,1622322136.890997,1000.0,99.3,5585.69,2047.77,11769.78,21.4,129047578,138500477,0.0006778581335854202,0.0003594721238620136,0,0,6.513489735471769,96955,500,0,602112,49705028,766351,517.85,228.93,0.02,0.08
29-5-2021 17:2:21,1622322141.906725,1000.0,94.8,5599.18,2053.15,11770.83,21.4,129402771,138680741,0.0007081584173319552,0.00035939747951656585,0,0,6.537882916812107,97973,502,0,602112,49781551,768557,525.06,232.26,0.02,0.08
