time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
27-5-2021 15:1:33,1622142093.134808,1000.0,80.3,4768.39,2580.21,9441.56,23.9,93910045,124695993,0.0002562672614374918,0.0003213363542726567,0,0,48784,381,0,602112,46111665,635126,204.43,119.21,0.02,0.07,6.511958782667982
27-5-2021 15:1:38,1622142098.1374404,1000.0,71.9,4777.71,2586.76,9445.91,23.9,94045036,124872288,0.00026983993577523737,0.0003524044675385431,0,0,49816,384,0,602112,46191504,638435,210.02,123.09,0.02,0.07,6.435104951917876
27-5-2021 15:1:43,1622142103.1398203,1000.0,88.3,4787.79,2593.4,9449.48,24.0,94172981,125041131,0.00025576825971753597,0.00033752534507396087,0,0,50846,386,0,602112,46270276,640641,216.1,127.44,0.02,0.07,6.511754655627476
27-5-2021 15:1:48,1622142108.143425,1000.0,88.3,4797.69,2599.46,9453.97,24.1,94298328,125196846,0.00025051339735152446,0.00031120564248520214,0,0,51876,388,0,602112,46349026,642847,221.47,131.25,0.02,0.07,6.51440830715404
27-5-2021 15:1:53,1622142113.1481414,1000.0,96.2,4807.38,2604.82,9459.39,24.0,94437481,126026840,0.00027804372711706974,0.0016584236433623792,0,0,52906,390,0,602112,46427788,645053,226.57,134.89,0.02,0.07,6.519817673727421
27-5-2021 15:1:58,1622142118.1527865,1000.0,66.8,4817.19,2610.68,9464.45,24.0,94572673,126202173,0.00027013304050692576,0.00035034052600154455,0,0,53938,393,0,602112,46507609,648362,231.87,138.42,0.02,0.07,6.40469002288264
27-5-2021 15:2:3,1622142123.1593342,1000.0,84.3,4827.21,2616.91,9468.91,24.0,94702972,126369494,0.0002602571833578798,0.0003342043467457448,0,0,54974,395,0,602112,46586664,650568,237.42,142.59,0.02,0.07,6.525941484942568
27-5-2021 15:2:8,1622142128.165414,1000.0,67.8,4837.19,2623.88,9472.75,24.1,94919073,126628222,0.00043167708824218444,0.0005168275467800885,0,0,56012,398,0,602112,46666837,653877,242.98,146.77,0.02,0.07,6.414692247867383
27-5-2021 15:2:13,1622142133.167532,1000.0,82.3,4846.98,2630.77,9476.73,24.0,95045790,126787341,0.00025332669728412747,0.0003181032595875303,0,0,57048,400,0,602112,46745887,656083,248.64,151.05,0.02,0.07,6.4469443202671615
27-5-2021 15:2:18,1622142138.1712112,1000.0,82.7,4856.45,2637.08,9481.75,24.0,95174766,126954596,0.00025776232427843736,0.0003342640301078499,0,0,58078,402,0,602112,46824629,658289,253.76,155.49,0.02,0.07,6.523594023976763
