time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
11-6-2021 17:23:33,1623446613.81625,1000.0,93.1,943.0,340.58,675.27,20.4,44169292,16161103,0.0006643432621312486,0.0003280262131523792,70.601,0,0,338.48,131.32,0.01,0.08,6.292216023564426,67166,361,174112768,442368,44797223,567619
11-6-2021 17:23:38,1623446618.8179948,1000.0,99.0,956.52,346.23,675.95,20.2,44749016,16335847,0.0011590435524102907,0.0003493660889015874,71.575,0,0,344.12,134.32,0.01,0.08,6.397851767025727,68181,363,174112768,442368,44871872,569825
11-6-2021 17:23:43,1623446623.8260474,1000.0,93.3,969.86,351.68,676.97,20.2,45450505,16521503,0.0014007221125225805,0.00037071495707344265,70.601,0,0,350.13,136.8,0.01,0.08,6.297319199577049,69198,366,174112768,442368,44947614,573132
11-6-2021 17:23:48,1623446628.8377235,1000.0,98.7,984.09,356.79,677.65,20.2,46134242,16706135,0.0013642880945028263,0.0003684036982995594,70.601,0,0,356.71,139.4,0.01,0.08,6.355597469641205,70215,369,174112768,442368,45023351,576441
11-6-2021 17:23:53,1623446633.8480747,1000.0,91.0,997.5,362.63,678.43,20.1,46840772,16885949,0.0014101406757174991,0.0003588850232310962,71.575,0,0,362.47,142.65,0.01,0.08,6.377439062975234,71230,371,174112768,442368,45098008,578647
11-6-2021 17:23:58,1623446638.8509831,1000.0,98.0,1010.66,368.78,679.1,20.2,47527000,17063057,0.0013716581151853968,0.0003540100745878269,71.575,0,0,368.11,144.99,0.01,0.08,6.360496518613325,72247,374,174112768,442368,45173748,581956
11-6-2021 17:24:3,1623446643.867606,1000.0,96.2,1023.95,374.65,680.0,20.2,48016813,17230050,0.0009763799697707944,0.0003328793239296104,71.088,0,0,373.28,147.49,0.01,0.08,6.358046994127264,73262,376,174112768,442368,45248378,584162
11-6-2021 17:24:8,1623446648.8833745,1000.0,96.6,1038.39,379.8,680.61,20.1,48877684,17410671,0.001716329202986378,0.00036010633064954286,71.088,0,0,379.63,150.56,0.01,0.08,6.392952718053607,74279,379,174112768,442368,45324134,587471
11-6-2021 17:24:13,1623446653.8930874,1000.0,99.5,1052.13,385.33,681.23,20.2,49243208,17584859,0.0007296306290989464,0.00034770056144463096,71.575,0,0,385.48,153.03,0.01,0.08,6.43275749095207,75296,382,174112768,442368,45399872,590780
11-6-2021 17:24:18,1623446658.8942962,1000.0,93.2,1065.48,390.67,682.07,20.1,49669724,17762676,0.0008528258238655568,0.00035554804397092187,71.575,0,0,391.38,156.1,0.01,0.08,6.390911447648559,76311,384,174112768,442368,45474537,592986
11-6-2021 17:24:23,1623446663.9136019,1000.0,92.6,1078.66,396.46,682.85,20.2,50294063,17948847,0.0012438752221261766,0.0003709098646383654,72.062,0,0,396.45,158.62,0.01,0.08,6.422653202447075,77328,387,174112768,442368,45550307,596295
11-6-2021 17:24:28,1623446668.9182954,1000.0,100.0,1092.29,401.95,683.58,20.1,51067646,18120523,0.001545715034777897,0.0003430299971826297,71.575,0,0,402.59,161.68,0.01,0.08,6.376214300732204,78343,389,174112768,442368,45624984,598501
11-6-2021 17:24:33,1623446673.9216008,1000.0,99.8,1105.57,407.2,684.9,20.2,51794496,18291519,0.0014527396126751838,0.0003417660628864356,71.575,0,0,407.9,164.52,0.01,0.08,6.380807159143565,79360,392,174112768,442368,45700729,601810
