time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
23-6-2021 13:6:44,1624468004.1255867,1000.0,69.8,641.05,202.55,1114.29,22.4,53145063,22932616,0.0024777851157281906,0.00035084804296547337,57.452,0,0,209.01,81.43,0.02,0.06,6.369171917834783,44670,332,174555136,471040,45772612,541968
23-6-2021 13:6:49,1624468009.141556,1000.0,99.0,655.63,207.26,1114.93,22.4,54195719,24550860,0.0020946220801977325,0.003226184035067139,58.913,0,0,215.74,84.18,0.02,0.06,6.3612109632550915,45710,335,174555136,471040,45852302,545277
23-6-2021 13:6:54,1624468014.1451826,1000.0,89.3,669.26,212.25,1116.09,22.4,55201749,24752828,0.0020106016764211633,0.0004036432307022947,58.426,0,0,222.44,87.88,0.02,0.06,6.468275595999927,46750,338,174555136,471040,45931943,548586
23-6-2021 13:6:59,1624468019.148233,1000.0,96.8,682.91,217.07,1117.33,22.3,56226347,24968937,0.002047946618503707,0.00043195447949168124,58.913,0,0,228.7,90.91,0.02,0.06,6.4597022602987195,47790,341,174555136,471040,46011606,551893
23-6-2021 13:7:4,1624468024.151514,1000.0,99.8,696.84,222.33,1118.07,22.2,57201549,25173315,0.0019491249388061595,0.0004084879406967226,59.887,0,0,235.4,94.41,0.02,0.06,6.49450592070481,48830,344,174555136,471040,46091273,555202
23-6-2021 13:7:9,1624468029.157469,1000.0,93.1,710.5,227.47,1118.93,22.4,58245746,25466932,0.00208590968954869,0.0005865354385391049,59.887,0,0,241.76,97.81,0.02,0.06,6.526349739023579,49870,347,174555136,471040,46170896,558511
23-6-2021 13:7:14,1624468034.1609945,1000.0,93.8,724.35,232.18,1120.14,22.4,59224434,25675432,0.0019559968283852894,0.0004167061808444907,58.913,0,0,248.74,101.27,0.02,0.06,6.485830521483351,50910,350,174555136,471040,46250549,561820
23-6-2021 13:7:19,1624468039.166779,1000.0,97.7,737.54,237.58,1121.27,22.5,60102014,26396179,0.0017531317977677611,0.0014398282593560934,59.4,0,0,254.76,104.83,0.02,0.06,6.452864004441805,51952,354,174555136,471040,46331299,566230
23-6-2021 13:7:24,1624468044.170184,1000.0,95.8,750.79,243.0,1122.55,22.3,60996540,26616195,0.001787834536267641,0.0004397325548183746,59.4,0,0,260.65,107.89,0.02,0.06,6.463580674068313,52997,357,174555136,471040,46411259,569539
23-6-2021 13:7:29,1624468049.1716619,1000.0,80.9,764.44,247.33,1124.45,22.3,61716201,26827322,0.0014388966745831613,0.0004221292222514755,60.374,0,0,268.22,111.07,0.02,0.06,6.467867341918916,54042,360,174555136,471040,46491236,572848
