time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
27-5-2021 13:16:52,1622135812.4847417,1000.0,95.5,5159.43,2070.51,12044.01,28.0,114855343,177228468,0.00028844784793266695,0.00041443442667308107,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:16:57,1622135817.488009,1000.0,96.2,5171.81,2076.33,12045.56,28.0,115001479,177438236,0.0002920811373488317,0.0004192620300226483,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:2,1622135822.4969594,1000.0,95.5,5185.01,2081.82,12046.67,28.0,115159468,179041861,0.000315413380281965,0.003201518978882493,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:7,1622135827.500455,1000.0,92.3,5197.09,2087.76,12048.48,28.0,115303052,179248083,0.0002869673836969194,0.0004121558655612472,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:12,1622135832.511555,1000.0,95.1,5210.5,2093.53,12049.35,27.9,115451016,179463762,0.0002952724918916226,0.0004304025018159368,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:17,1622135837.516466,1000.0,98.5,5223.02,2099.02,12051.02,28.1,115597377,179682455,0.0002924347737298352,0.00043695682573430657,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:22,1622135842.5208788,1000.0,90.8,5234.71,2105.17,12052.95,28.1,115745937,179897852,0.0002968579996911867,0.0004304141260062099,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:27,1622135847.5322044,1000.0,99.0,5245.74,2110.77,12056.12,28.0,115881607,180079032,0.0002707267714964677,0.00036154106626173823,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:32,1622135852.53703,1000.0,85.0,5256.42,2115.68,12060.16,28.1,116018748,180259768,0.00027401754062736995,0.00036112347308848807,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:37,1622135857.5406396,1000.0,96.3,5268.38,2121.67,12062.05,28.1,116170717,180482638,0.0003037187358903227,0.00044541843841754716,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:42,1622135862.5443573,1000.0,75.3,5280.09,2127.18,12064.47,27.9,116330546,181378676,0.00031942050057861697,0.001790744523818974,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:47,1622135867.5477426,1000.0,91.6,5292.78,2133.13,12065.57,27.9,116476836,181593726,0.00029238203950029067,0.00042980899305856523,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:52,1622135872.5567627,1000.0,84.6,5305.22,2138.8,12067.23,28.1,116631906,182583188,0.0003095815093782279,0.0019753604142155163,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:17:57,1622135877.5689485,1000.0,96.0,5317.21,2145.08,12068.86,28.1,116779262,182797901,0.0002939954852577682,0.00042838196358581376,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:2,1622135882.5725014,1000.0,70.6,5328.69,2149.83,12072.3,28.0,116923177,182998591,0.0002876256182020928,0.0004010949888265851,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:7,1622135887.5781171,1000.0,95.7,5339.98,2155.83,12074.78,28.0,117071085,183211576,0.00029548412929242355,0.0004254921118353762,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:12,1622135892.5970562,1000.0,96.8,5353.25,2161.16,12076.21,28.0,117219804,183423331,0.0002963156146333687,0.00042191188063858004,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:17,1622135897.6029794,1000.0,94.3,5365.87,2166.63,12077.92,27.9,117363487,183629918,0.00028702597346473894,0.00041268511083538084,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:22,1622135902.606271,1000.0,99.5,5378.22,2172.28,12079.83,28.2,117633130,184626446,0.0005389312100617356,0.001991744791818817,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:27,1622135907.6082313,1000.0,79.1,5389.45,2177.6,12082.93,28.2,117774800,184819898,0.00028322895852580073,0.0003867523716011379,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:32,1622135912.61201,1000.0,81.5,5400.0,2182.97,12086.66,28.1,117913390,185006550,0.0002769706823947299,0.0003730220925776833,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:37,1622135917.6325276,1000.0,96.5,5412.8,2189.25,12087.62,28.0,118063648,185231202,0.0002992878669905849,0.00044746780800469115,0,0,1.81,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:42,1622135922.6359024,1000.0,86.2,5425.27,2194.62,12089.57,28.1,118225439,186180151,0.0003233637414398155,0.0018966178531288605,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:47,1622135927.6367328,1000.0,81.3,5437.23,2200.15,12091.81,28.1,118376687,186395400,0.00030244576908618323,0.0004304265137392352,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:52,1622135932.6403942,1000.0,83.0,5449.46,2205.89,12093.71,28.0,118522740,186605104,0.00029189225348392713,0.0004191011011385829,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:18:57,1622135937.645854,1000.0,80.5,5461.31,2211.46,12096.06,28.1,118669368,186815809,0.00029293612631927914,0.00042095034029042004,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:2,1622135942.6467474,1000.0,93.4,5473.8,2217.34,12097.61,28.1,118821365,187714594,0.0003039396948262923,0.001797248883954612,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:7,1622135947.696917,1000.0,94.0,5486.2,2223.06,12099.53,28.1,118967832,187922999,0.0002900239170497405,0.00041266930047554175,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:12,1622135952.706741,1000.0,89.6,5498.15,2228.74,12101.71,28.1,119111626,188124751,0.0002870240529850364,0.00040271274697022873,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:17,1622135957.7100377,1000.0,99.5,5511.33,2234.44,12102.74,28.1,119253814,188330995,0.00028418862797551073,0.00041221621647523864,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:22,1622135962.7136796,1000.0,88.6,5523.74,2240.24,12104.35,28.5,119393983,188531548,0.00028013395917575787,0.0004008140595607857,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:27,1622135967.7167652,1000.0,83.8,5534.25,2245.55,12108.28,28.2,119545208,189513137,0.00030226346636859217,0.0019619672255862457,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:32,1622135972.7206874,1000.0,87.2,5545.07,2250.82,12111.8,28.2,119680853,189690717,0.0002710773547762192,0.0003548816149593498,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:37,1622135977.7239454,1000.0,80.1,5556.55,2257.04,12114.02,28.2,119828427,189903600,0.00029495580739269156,0.0004254887523898407,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:42,1622135982.7346058,1000.0,92.5,5568.34,2262.7,12116.31,28.1,119983828,190789346,0.0003101407544844026,0.001767723069488238,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:47,1622135987.742017,1000.0,79.2,5580.25,2267.83,12119.16,28.1,120127803,190991475,0.0002875238183073004,0.0004036596761287469,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:52,1622135992.7498024,1000.0,99.0,5593.01,2274.28,12119.87,28.2,120277010,191220434,0.000297950072651274,0.00045720610081405723,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:19:57,1622135997.7562902,1000.0,93.1,5605.0,2280.61,12121.54,28.1,120423524,191430337,0.00029264826859831347,0.00041926197853851366,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:2,1622136002.7567275,1000.0,97.2,5617.22,2286.56,12123.27,28.2,120567877,191639094,0.00028868075430949196,0.0004174774907856893,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:7,1622136007.7620652,1000.0,91.1,5630.52,2291.67,12124.81,28.2,120712420,191841526,0.0002887777173606743,0.00040443225116924397,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:12,1622136012.7654712,1000.0,86.6,5642.72,2296.87,12127.23,28.2,120862150,192060825,0.00029925614385265925,0.0004382994262388588,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:17,1622136017.7667153,1000.0,88.9,5654.84,2302.75,12129.15,28.2,121006247,192268404,0.00028812231124210065,0.0004150547287266495,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:22,1622136022.7745962,1000.0,99.0,5667.95,2308.27,12130.39,28.5,121302172,194016636,0.0005909186028281934,0.003490961597903314,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:27,1622136027.7767596,1000.0,91.6,5678.73,2313.97,12133.76,28.4,121442628,194204887,0.00028079050699136545,0.0003763391648034369,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:32,1622136032.7772443,1000.0,97.5,5689.6,2320.15,12136.64,28.1,121580796,194392107,0.0002763092143100408,0.0003744037049325882,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:37,1622136037.7806919,1000.0,95.0,5701.81,2326.2,12138.32,28.2,121730850,194617012,0.0002999012161528792,0.0004495000667683854,0,0,1.82,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:42,1622136042.7857425,1000.0,95.2,5714.08,2332.25,12139.92,28.2,121882806,194836644,0.00030360531860212003,0.00043882073320711804,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:47,1622136047.7895055,1000.0,93.7,5725.79,2337.6,12142.67,28.2,122032068,195048943,0.000298299502155184,0.00042427869121439756,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:52,1622136052.8009725,1000.0,91.8,5738.36,2342.95,12144.67,28.2,122177244,195259275,0.0002896876315456952,0.000419701458355852,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:20:57,1622136057.8044002,1000.0,81.7,5749.48,2349.09,12147.29,28.2,122322384,195468545,0.0002900811352309601,0.0004182532669821071,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:2,1622136062.8069394,1000.0,95.2,5762.11,2355.28,12148.59,28.2,122476200,196359935,0.0003074758540532271,0.0017818751075603715,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:7,1622136067.8079233,1000.0,88.1,5774.72,2361.54,12149.63,28.2,122620763,196567317,0.0002890691138881199,0.00041468239436333,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:12,1622136072.813217,1000.0,88.5,5787.12,2366.75,12151.58,28.2,122766071,196776443,0.00029030864398468055,0.0004178096559166757,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:17,1622136077.8170652,1000.0,96.8,5799.74,2372.85,12152.83,28.2,122911687,196992671,0.00029100802193441185,0.0004321234106611499,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:22,1622136082.8228743,1000.0,97.5,5811.64,2378.89,12154.77,28.3,123058480,197913059,0.00029324530357829643,0.0018386398429749448,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:27,1622136087.826517,1000.0,93.0,5822.71,2384.22,12158.07,28.3,123202716,198107606,0.00028826198399479596,0.00038881072825255533,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:32,1622136092.8267875,1000.0,86.3,5833.58,2389.86,12161.38,28.3,123335315,198280892,0.000265183660635416,0.00034655326070987485,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:37,1622136097.8336134,1000.0,95.7,5846.44,2395.75,12162.43,28.2,123484193,198500825,0.00029735006221955556,0.0004392663203034264,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:42,1622136102.83683,1000.0,84.0,5858.88,2401.64,12163.91,28.3,123636690,199392781,0.000304797923188127,0.0017827651453811485,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:47,1622136107.8409262,1000.0,96.2,5870.63,2407.34,12166.13,28.3,123785610,199606104,0.00029759619315173437,0.00042629675471197575,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:52,1622136112.8423254,1000.0,96.7,5883.18,2412.8,12167.87,28.3,123932070,199816059,0.00029283804759496043,0.000419792518659019,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:21:57,1622136117.8482785,1000.0,97.5,5895.8,2418.64,12169.26,28.2,124077707,200031742,0.0002909276173021118,0.00043085302006063965,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:2,1622136122.8639233,1000.0,94.9,5908.43,2424.79,12170.38,28.3,124224772,200250765,0.0002932125503187482,0.0004366796478323407,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:7,1622136127.8682547,1000.0,94.2,5920.6,2430.71,12172.14,28.4,124374942,200465938,0.00030008004963580446,0.0004299735268048542,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:12,1622136132.8743434,1000.0,96.0,5932.94,2437.2,12173.16,28.2,124526029,200959647,0.0003018064761491824,0.0009862170374230522,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:17,1622136137.8771813,1000.0,98.0,5946.04,2442.36,12174.75,28.3,124672269,201641367,0.000292314088583164,0.001362666578698814,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:22,1622136142.8976169,1000.0,78.5,5958.52,2448.14,12176.26,28.5,124976564,202675791,0.0006061127478999734,0.002060426800090971,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:27,1622136147.9037812,1000.0,96.0,5969.48,2454.3,12179.02,28.4,125106678,202842494,0.0002599075697109758,0.0003329954623908941,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:32,1622136152.907504,1000.0,95.7,5979.82,2459.26,12183.45,28.6,125247107,203024947,0.0002806490339991619,0.0003646344999982132,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:37,1622136157.9118867,1000.0,96.5,5993.06,2465.23,12184.17,28.5,125395129,203261796,0.0002957847381507546,0.00047328315687038464,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:42,1622136162.9177763,1000.0,97.5,6006.12,2470.8,12185.46,28.3,125545988,203482169,0.00030136301521278375,0.00044022744252240035,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:47,1622136167.9212346,1000.0,98.7,6017.74,2476.83,12187.72,28.4,125697193,203707351,0.0003022009819963523,0.0004500527200020013,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:52,1622136172.9263303,1000.0,80.9,6029.86,2481.97,12190.18,28.5,125846661,203922330,0.00029863165132695146,0.0004295202569822082,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:22:57,1622136177.9268138,1000.0,77.9,6041.71,2487.96,12192.16,28.3,125993175,204132846,0.0002929996661776062,0.00042099128905800774,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:2,1622136182.9322822,1000.0,81.9,6053.65,2493.54,12194.51,28.3,126146120,205027197,0.000305555821632149,0.0017867478808233945,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:7,1622136187.9455664,1000.0,97.5,6065.51,2499.92,12196.11,28.4,126301976,206009437,0.0003108860251755366,0.001959274518583943,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:12,1622136192.94768,1000.0,97.8,6078.22,2505.5,12197.71,28.5,126442615,206207107,0.0002811591494893921,0.0003951729540139516,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
