time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
22-6-2021 22:25:12,1624415112.9559243,1000.0,95.6,771.83,278.67,3335.35,19.2,18017753,27813454,0.0003043521822761689,0.00042947419167072226,65.731,0,0,6.462151784784778,346.5,164.12,0.04,0.06,52637,400,173494272,475136,46381683,619101
22-6-2021 22:25:17,1624415117.9572213,1000.0,87.8,784.97,283.18,3337.49,19.1,18161474,28012237,0.0002873674570500206,0.0003974628983570546,65.731,0,0,6.442657652416559,354.98,168.32,0.04,0.06,53644,404,173494272,475136,46457953,623513
22-6-2021 22:25:22,1624415122.9672713,1000.0,87.9,798.04,288.24,3339.26,19.1,18306264,28207014,0.00028899910841859963,0.00038877256261101996,65.244,0,0,6.349269531385553,363.1,171.91,0.04,0.06,54649,407,173494272,475136,46533132,626822
22-6-2021 22:25:27,1624415127.970964,1000.0,98.7,811.12,293.38,3340.94,19.2,18455470,28423649,0.0002981917778008185,0.000432950255243625,65.244,0,0,6.4419432077747905,371.18,176.55,0.04,0.06,55656,411,173494272,475136,46609396,631234
22-6-2021 22:25:32,1624415132.9743187,1000.0,96.8,823.93,298.81,3342.51,19.3,18701795,28720514,0.0004923196743899183,0.0005933318994733101,66.218,0,0,6.446229875625393,378.19,180.82,0.04,0.06,56663,415,173494272,475136,46685708,635644
22-6-2021 22:25:37,1624415137.97724,1000.0,76.2,835.95,303.67,3345.5,19.2,18849999,28916075,0.00029623491924736316,0.0003908936131476451,65.731,0,0,6.493587349022538,385.85,184.63,0.04,0.06,57668,418,173494272,475136,46760885,638951
22-6-2021 22:25:42,1624415142.979776,1000.0,93.2,849.12,308.93,3346.86,19.1,18992207,29113737,0.0002842718275624297,0.00039512360753013177,64.757,0,0,6.445209240422869,394.06,189.18,0.04,0.06,58675,422,173494272,475136,46837153,643363
22-6-2021 22:25:47,1624415147.9972486,1000.0,97.7,862.42,314.36,3348.12,19.1,19137184,29313704,0.00028894427014817815,0.0003985412780559726,66.705,0,0,6.459396069737962,402.48,194.12,0.04,0.06,59680,425,173494272,475136,46912334,646670
22-6-2021 22:25:53,1624415153.0011208,1000.0,81.6,874.43,319.74,3350.52,19.0,19285382,29516435,0.00029616663930564103,0.0004051482405502902,67.192,0,0,6.402036371356077,409.3,198.33,0.04,0.06,60687,429,173494272,475136,46988648,651082
22-6-2021 22:25:58,1624415158.0072715,1000.0,97.7,887.29,325.63,3351.65,19.2,19433410,29729044,0.0002956922557976214,0.00042469556308858113,65.731,0,0,6.4513330516380165,416.74,202.47,0.04,0.06,61694,433,173494272,475136,47064951,655492
22-6-2021 22:26:3,1624415163.026457,1000.0,82.2,898.73,330.43,3355.27,19.2,19576289,29915469,0.0002846657067650137,0.000371424802690862,64.757,0,0,6.4558238465291256,423.24,206.3,0.04,0.06,62699,436,173494272,475136,47140131,658799
22-6-2021 22:26:8,1624415168.027228,1000.0,93.5,911.71,335.06,3357.59,19.0,19719379,30107044,0.0002861358752336261,0.0003830909238792503,65.731,0,0,6.381215413224574,431.4,210.51,0.04,0.06,63704,439,173494272,475136,47215321,662108
22-6-2021 22:26:13,1624415173.0307932,1000.0,33.8,916.95,336.61,3370.44,19.1,19836377,30230134,0.00023382927631146024,0.0002460045951313496,63.783,0,0,6.381215413224574,432.03,210.56,0.04,0.06,64703,439,173494272,475136,47287210,662108
