time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
11-6-2021 19:41:7,1623454867.0120475,600.0,96.0,7219.36,2453.23,3670.52,48.5,111123517,132502386,0.0013850623104432914,0.0003132869522498073,65.244,0,0,59997,341,1146880,471040,44367775,558910,13.025553020948873,365.44,117.78,0.02,0.17
11-6-2021 19:41:12,1623454872.015299,600.0,97.0,7234.54,2457.57,3670.86,48.8,111866386,132657510,0.0014847724368699058,0.0003100463735827007,65.244,0,0,61038,343,1146880,471040,44447337,561240,13.035807714040558,371.93,120.42,0.02,0.17
11-6-2021 19:41:17,1623454877.0190873,600.0,97.0,7248.28,2462.61,3671.79,48.5,112496362,132817217,0.0012589981244011588,0.000319172180295338,64.757,0,0,62079,345,1146880,471040,44526905,563570,13.159073310591632,377.13,122.89,0.02,0.17
11-6-2021 19:41:22,1623454882.0200248,600.0,100.0,7262.87,2467.47,3672.21,48.6,113288377,133485915,0.0015837330621337742,0.0013371452954587105,65.244,0,0,63126,347,1146880,471040,44606807,565900,13.14965573530335,383.44,125.8,0.02,0.17
11-6-2021 19:41:27,1623454887.0225925,600.0,99.8,7277.51,2472.21,3672.63,48.7,114075543,133645668,0.001573523911100266,0.0003193420007596883,64.757,0,0,64173,349,1146880,471040,44686705,568230,13.161793943452693,388.78,128.37,0.02,0.17
11-6-2021 19:41:32,1623454892.0254745,600.0,99.5,7291.91,2476.85,3673.33,48.8,114783970,133807067,0.0014160377947434017,0.00032261204617242185,64.27,0,0,65220,351,1146880,471040,44766602,570560,13.181047652930959,394.85,131.21,0.02,0.17
11-6-2021 19:41:37,1623454897.0284183,600.0,91.1,7305.54,2481.96,3674.32,48.7,115031887,133975583,0.0004955422490849756,0.00033683368888298807,64.757,0,0,66267,353,1146880,471040,44846519,572890,13.175815666659691,402.17,134.67,0.02,0.17
11-6-2021 19:41:42,1623454902.0440738,600.0,98.2,7319.57,2487.21,3674.81,48.5,115807154,134151405,0.00154569427123326,0.00035054640292541057,65.731,0,0,67314,355,1146880,471040,44926442,575220,13.171211518740975,408.67,137.81,0.02,0.17
11-6-2021 19:41:47,1623454907.0493414,600.0,89.2,7332.6,2493.1,3675.88,48.3,115927883,134305803,0.00024120388591311625,0.00030847101837349207,65.244,0,0,68361,357,1146880,471040,45006408,577550,13.185023962497123,415.51,141.28,0.02,0.17
11-6-2021 19:41:52,1623454912.0552578,600.0,96.5,7346.21,2498.67,3676.34,48.9,116847690,135979729,0.0018374398100087467,0.0033438952643420864,65.731,0,0,69408,359,1146880,471040,45086352,579880,13.133750497038696,420.71,143.24,0.02,0.17
