time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
14-6-2021 20:8:21,1623715701.8607051,1500.0,95.7,7217.62,2921.22,5432.26,11.5,397131129,205262289,0.0005303230108855635,0.00030465232584244865,64.27,0,0,3.1138799744056507,62593,314,1024000,438272,44541937,518703,294.1,90.2,0.03,0.18
14-6-2021 20:8:26,1623715706.879124,1500.0,90.7,7230.73,2926.44,5433.91,11.6,397442712,205417280,0.0006208788327681223,0.0003088442924343242,64.27,0,0,3.0646753336937707,63613,316,1024000,438272,44619899,521033,300.33,91.91,0.03,0.18
14-6-2021 20:8:31,1623715711.8807697,1500.0,95.8,7243.73,2932.24,5435.15,11.5,397753158,205571593,0.0006206876940101742,0.00030852444588041724,63.783,0,0,3.115318416523236,64633,318,1024000,438272,44697857,523363,305.37,94.14,0.03,0.18
14-6-2021 20:8:36,1623715716.88211,1500.0,92.3,7256.22,2937.7,5437.15,11.6,398074828,205719070,0.0006431675810174713,0.000294874950557135,64.27,0,0,3.1136815685963284,65649,318,1024000,438272,44773473,523363,311.56,96.47,0.03,0.18
14-6-2021 20:8:41,1623715721.886122,1500.0,96.8,7268.52,2943.57,5439.02,11.6,398380513,205873243,0.0006108798459640485,0.0003080987895769019,63.783,0,0,3.100041169205434,66669,320,1024000,438272,44851415,525691,316.53,98.14,0.03,0.18
14-6-2021 20:8:46,1623715726.8946345,1500.0,94.2,7281.73,2948.33,5440.67,11.5,398608428,206015815,0.0004550552686828112,0.0002846593676004026,64.757,0,0,3.1072829812456906,67685,320,1024000,438272,44927042,525691,322.38,100.55,0.03,0.18
14-6-2021 20:8:51,1623715731.9009278,1500.0,83.5,7294.11,2953.82,5442.4,11.6,398873184,206172106,0.0005288463625742669,0.0003121890603162714,62.809,0,0,3.0716691384723744,68705,322,1024000,438272,45005002,528021,327.81,102.38,0.03,0.18
14-6-2021 20:8:56,1623715736.904868,1500.0,93.9,7307.55,2958.56,5443.87,11.6,399151809,206319392,0.0005568112210160012,0.00029434005383064245,64.27,0,0,3.1152688150709054,69735,326,1024000,438272,45085612,532681,333.36,104.41,0.03,0.18
14-6-2021 20:9:1,1623715741.9138937,1500.0,97.0,7320.85,2963.64,5445.24,11.6,399452999,206480874,0.0006012945656408565,0.00032238204803883524,63.783,0,0,3.110705481456497,70759,327,1024000,438272,45162729,533846,339.18,106.6,0.03,0.18
14-6-2021 20:9:6,1623715746.9285457,1500.0,88.8,7333.55,2969.01,5446.86,11.6,399778598,206638693,0.000649295303254057,0.00031471575608110595,63.296,0,0,3.0611040291259726,71780,329,1024000,438272,45240710,536176,344.88,108.79,0.03,0.18
14-6-2021 20:9:11,1623715751.9307199,1500.0,96.5,7346.59,2974.47,5448.09,11.6,400051323,206781817,0.0005452129262602536,0.0002861235855094785,63.783,0,0,3.1108542858134887,72801,331,1024000,438272,45318669,538506,349.82,111.27,0.03,0.18
14-6-2021 20:9:16,1623715756.9372551,1500.0,85.7,7359.52,2979.67,5449.57,11.6,400313481,206931377,0.0005236315829753429,0.00029872954306102537,63.783,0,0,3.0896248642160242,73820,332,1024000,438272,45395481,539671,355.18,113.31,0.03,0.18
14-6-2021 20:9:21,1623715761.9432604,1500.0,93.5,7372.48,2984.98,5450.97,11.6,400548014,207084310,0.0004685033006278889,0.0003054990780611894,63.783,0,0,3.1397223310698537,74845,333,1024000,438272,45472633,540836,360.7,115.33,0.03,0.18
14-6-2021 20:9:26,1623715766.9452221,1500.0,96.0,7386.08,2989.72,5452.35,11.6,400812218,207227281,0.0005282007648595207,0.0002858298570526205,63.783,0,0,3.107679792864335,75872,335,1024000,438272,45550965,543166,366.86,117.87,0.03,0.18
14-6-2021 20:9:31,1623715771.9704435,1500.0,89.2,7399.02,2994.93,5453.84,11.6,401108944,207381835,0.0005904734925345772,0.0003075566015960484,63.783,0,0,3.087888813384456,76897,336,1024000,438272,45628116,544331,372.55,119.82,0.03,0.18
14-6-2021 20:9:36,1623715776.9863684,1500.0,83.5,7411.87,3000.25,5455.27,11.6,401364858,207534125,0.0005102030104959932,0.000303612996820943,63.296,0,0,3.0604096087933454,77922,337,1024000,438272,45705274,545496,377.83,122.16,0.03,0.18
14-6-2021 20:9:41,1623715781.9935513,1500.0,94.2,7424.91,3005.15,5457.12,11.6,401652446,207694379,0.0005743509062655895,0.0003200482291774545,64.757,0,0,3.1377878744289633,78953,341,1024000,438272,45785927,550156,383.33,123.78,0.03,0.18
14-6-2021 20:9:46,1623715786.9946113,1500.0,94.2,7437.12,3009.54,5459.95,11.6,401833700,207841320,0.00036243116394067383,0.0002938197096925119,64.757,0,0,3.1128383439067093,79978,342,1024000,438272,45863090,551321,388.6,125.77,0.03,0.18
14-6-2021 20:9:51,1623715791.9979053,1500.0,92.5,7449.91,3015.09,5461.28,11.5,402115579,207998639,0.0005633868417527363,0.00031443085351409196,63.296,0,0,3.1073821841503517,81005,344,1024000,438272,45941399,553651,394.12,128.29,0.03,0.18
14-6-2021 20:9:57,1623715797.000849,1500.0,82.6,7462.51,3020.08,5463.12,11.6,402385829,208154994,0.0005401819674133466,0.0003125260000551853,64.757,0,0,3.062641674148219,82032,346,1024000,438272,46019706,555981,399.74,129.99,0.03,0.18
14-6-2021 20:10:2,1623715802.0083888,1500.0,96.2,7475.65,3025.37,5464.38,11.6,402675430,208313730,0.0005783299075147987,0.0003169939889685087,63.783,0,0,3.1425992153050237,83059,348,1024000,438272,46098023,558311,405.05,131.96,0.03,0.18
14-6-2021 20:10:7,1623715807.0107973,1500.0,94.8,7489.61,3029.59,5465.87,11.6,402995538,208469285,0.0006399077558598663,0.00031096021018775386,64.27,0,0,3.116955264450143,84084,349,1024000,438272,46175167,559474,411.32,134.16,0.03,0.18
14-6-2021 20:10:12,1623715812.0133908,1500.0,91.7,7502.83,3034.42,5467.29,11.6,403395286,208704542,0.0007990815136534918,0.0004702700692876,64.27,0,0,3.1087710248156064,85109,350,1024000,438272,46252314,560639,416.65,135.97,0.03,0.18
14-6-2021 20:10:17,1623715817.0231647,1500.0,91.0,7515.75,3039.83,5468.68,11.6,403690918,208863106,0.0005901104556632084,0.0003165092895619587,64.757,0,0,3.1036620752255626,86141,352,1024000,438272,46330918,562969,421.42,137.66,0.03,0.18
14-6-2021 20:10:22,1623715822.0252836,1500.0,94.6,7529.86,3044.49,5469.92,11.6,403941969,209010546,0.0005018893167820815,0.00029475509305420053,64.757,0,0,3.1346133814798094,87173,354,1024000,438272,46409542,565299,427.7,139.81,0.03,0.18
14-6-2021 20:10:27,1623715827.0279229,1500.0,95.7,7542.63,3049.57,5471.44,11.6,404181677,209174451,0.0004791630695886447,0.0003276370539194637,63.783,0,0,3.100933995347384,88205,356,1024000,438272,46488149,567629,432.74,141.67,0.03,0.18
14-6-2021 20:10:32,1623715832.0486894,1500.0,97.8,7555.52,3055.26,5472.64,11.6,404435403,209322048,0.0005053531172359291,0.0002939730419612946,64.27,0,0,3.104257292653529,89237,358,1024000,438272,46566793,569959,438.09,144.12,0.03,0.18
14-6-2021 20:10:37,1623715837.0506318,1500.0,93.9,7568.37,3060.26,5474.28,11.6,404695580,209477563,0.0005201519317766101,0.000310909218225437,64.27,0,0,3.115318416523236,90267,359,1024000,438272,46644259,571122,443.11,146.55,0.03,0.18
14-6-2021 20:10:42,1623715842.0529978,1500.0,89.4,7580.59,3064.88,5476.94,11.6,404967979,209634290,0.0005445403163366639,0.00031330573958970604,64.27,0,0,3.0985035241831884,91301,362,1024000,438272,46724045,574617,448.51,148.32,0.03,0.18
14-6-2021 20:10:47,1623715847.0547123,1500.0,95.7,7592.78,3069.91,5479.2,11.6,405242058,209781373,0.0005479701045579016,0.00029406516693613824,64.757,0,0,3.1418551935200663,92331,363,1024000,438272,46801502,575782,453.62,150.36,0.03,0.18
14-6-2021 20:10:52,1623715852.061704,1500.0,94.7,7605.63,3075.29,5480.77,11.6,405489518,209935475,0.0004942289073796793,0.00030777363244574205,64.27,0,0,3.12608193167896,93361,364,1024000,438272,46878940,576947,458.88,152.74,0.03,0.18
14-6-2021 20:10:57,1623715857.064473,1500.0,42.0,7614.29,3078.71,5487.83,11.6,405636229,210064137,0.0002932595932256831,0.00025718157318539736,64.27,0,0,3.12608193167896,94391,365,1024000,438272,46956401,578112,459.95,152.94,0.03,0.18
14-6-2021 20:11:2,1623715862.0676143,1500.0,96.8,7626.24,3082.47,5491.98,11.6,405847695,210210838,0.0004226664468544124,0.0002932177769475431,63.783,0,0,3.118244902210737,95415,366,1024000,438272,47033525,579277,466.08,154.79,0.03,0.18
14-6-2021 20:11:7,1623715867.080706,1500.0,88.4,7639.02,3087.43,5493.71,11.6,406130051,210362798,0.0005632372686300051,0.00030312632046429185,64.27,0,0,3.0532173982054194,96447,368,1024000,438272,47112141,581607,471.83,156.68,0.03,0.18
14-6-2021 20:11:12,1623715872.1009746,1500.0,95.5,7652.34,3092.53,5495.1,11.6,406415085,210508218,0.0005677664249551434,0.00028966577151138796,64.27,0,0,3.1197329457806524,97474,370,1024000,438272,47190447,583935,477.31,158.96,0.03,0.18
14-6-2021 20:11:17,1623715877.101823,1500.0,98.0,7664.87,3097.94,5496.87,11.6,406675831,210664048,0.0005214035145154877,0.00031160711829500144,64.27,0,0,3.111846314860099,98499,371,1024000,438272,47267627,585100,483.19,161.35,0.03,0.18
14-6-2021 20:11:22,1623715882.1042497,1500.0,90.3,7677.28,3103.1,5498.65,11.6,406964981,210818066,0.0005780194727805156,0.00030788657499121377,63.783,0,0,3.122510627111162,99526,373,1024000,438272,47345960,587428,488.22,163.35,0.03,0.18
14-6-2021 20:11:27,1623715887.1376345,1500.0,87.8,7690.41,3108.38,5500.08,11.6,407277903,210982157,0.0006216929808399631,0.0003260052758163708,64.27,0,0,3.081192617319835,100553,375,1024000,438272,47424286,589758,494.17,165.27,0.03,0.18
14-6-2021 20:11:32,1623715892.160683,1500.0,96.2,7703.84,3113.61,5501.35,11.6,407568972,211140387,0.0005794668431804684,0.00031500791426241037,64.757,0,0,3.065369754026398,101580,377,1024000,438272,47502622,592088,499.89,167.56,0.03,0.18
14-6-2021 20:11:37,1623715897.1627688,1500.0,59.1,7715.09,3118.25,5504.84,11.6,407809299,211281760,0.00048045356206252645,0.00028262809184763073,63.296,0,0,3.117699286235101,102603,377,1024000,438272,47578637,592088,501.76,168.43,0.03,0.18
14-6-2021 20:11:42,1623715902.166356,1500.0,67.1,7723.18,3121.44,5512.7,11.6,407920687,211397200,0.0002226162841276653,0.0002307144740878522,63.783,0,0,3.1166080542838293,103628,378,1024000,438272,47655793,593253,504.0,168.88,0.03,0.18
14-6-2021 20:11:47,1623715907.169072,1500.0,96.3,7736.21,3126.88,5514.23,11.5,408135348,211547866,0.00042908893382047895,0.0003011684157951201,63.783,0,0,3.1167072571884904,104655,380,1024000,438272,47734129,595583,509.63,171.39,0.03,0.18
14-6-2021 20:11:52,1623715912.1802104,1500.0,91.2,7749.29,3131.85,5515.59,11.6,408382390,211702584,0.000492985781571224,0.00030874820537858596,64.757,0,0,3.1054973289617918,105687,381,1024000,438272,47835782,596748,514.38,172.78,0.03,0.18
14-6-2021 20:11:57,1623715917.1853337,1500.0,93.2,7762.94,3137.08,5516.66,11.6,408685516,211868325,0.0006056314243965693,0.0003311426862456926,64.27,0,0,3.1024220389172994,106712,382,1024000,438272,47912944,597913,520.56,175.07,0.03,0.18
14-6-2021 20:12:2,1623715922.1893463,1500.0,86.7,7775.34,3142.55,5518.19,11.6,408972015,212028219,0.000572538528133941,0.00031953157050268363,64.27,0,0,3.111251097432133,107739,384,1024000,438272,47991275,600243,526.22,177.38,0.03,0.18
14-6-2021 20:12:7,1623715927.1906457,1500.0,96.2,7788.83,3147.58,5519.28,11.6,409266184,212182224,0.0005881851446495848,0.00030792997631211755,64.757,0,0,3.136647041025361,108766,386,1024000,438272,48069610,602573,532.12,179.49,0.03,0.18
14-6-2021 20:12:12,1623715932.196997,1500.0,94.2,7802.37,3152.63,5520.47,11.6,409678322,212438885,0.0008232302945948738,0.0005126707817309127,64.757,0,0,3.1260323302266286,109791,387,1024000,438272,48146796,603738,537.25,181.69,0.03,0.18
14-6-2021 20:12:17,1623715937.201704,1500.0,89.6,7815.01,3157.95,5522.29,11.7,409970570,212589846,0.0005839462615431954,0.0003016380320440938,63.783,0,0,3.1209233806365853,110818,389,1024000,438272,48225162,606068,543.46,183.56,0.03,0.18
14-6-2021 20:12:22,1623715942.2049482,1500.0,85.1,7828.1,3163.07,5523.82,11.7,410304238,212761801,0.0006669032915893242,0.0003436870047629447,63.783,0,0,3.0855079436725905,111845,391,1024000,438272,48303532,608398,548.27,185.5,0.03,0.18
14-6-2021 20:12:27,1623715947.2107236,1500.0,97.5,7841.25,3168.71,5524.85,11.6,410566282,212908139,0.0005234833294671529,0.00029233832282961726,64.757,0,0,3.105596531866453,112872,393,1024000,438272,48381902,610728,553.44,187.89,0.03,0.18
14-6-2021 20:12:32,1623715952.2134411,1500.0,94.3,7854.26,3173.97,5526.2,11.6,410770718,213066367,0.0004086498991913327,0.0003162840999102222,64.27,0,0,3.1153680179755665,113897,394,1024000,438272,48459068,611893,559.07,190.39,0.03,0.18
14-6-2021 20:12:37,1623715957.2211123,1500.0,81.5,7866.9,3179.35,5527.88,11.7,411029171,213213117,0.0005161141654894531,0.00029305039518046707,64.27,0,0,3.0693378702128395,114922,395,1024000,438272,48536210,613058,564.45,192.38,0.03,0.18
14-6-2021 20:12:42,1623715962.2215247,1500.0,90.0,7879.98,3184.69,5529.25,11.6,411279768,213375765,0.0005011526584997556,0.00032526916762638125,64.27,0,0,3.074149211088901,115953,399,1024000,438272,48616885,617718,570.51,194.54,0.03,0.18
14-6-2021 20:12:47,1623715967.224232,1500.0,93.1,7893.22,3189.73,5530.85,11.6,411540880,213527409,0.0005219413955656696,0.000303123874004873,63.296,0,0,3.114673597642939,116980,401,1024000,438272,48695221,620046,575.66,196.83,0.03,0.18
