time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
14-6-2021 19:14:9,1623712449.7550697,1500.0,63.3,572.67,221.24,1998.08,12.1,29002273,24372901,0.0015281374411831973,0.000374909687276054,64.27,0,0,46024,359,3731456,548864,43289746,614703,176.31,101.45,0.02,0.07,3.067800225190594
14-6-2021 19:14:14,1623712454.7589178,1500.0,85.6,581.77,227.04,2002.95,12.2,29802004,24565000,0.0015982319764204298,0.0003839025427779943,65.244,0,0,47058,361,3731456,548864,43367744,617033,180.79,106.28,0.02,0.07,3.1260323302266286
14-6-2021 19:14:19,1623712459.7606006,1500.0,45.1,590.56,231.63,2009.2,12.2,30598341,25200549,0.001592138163248243,0.0012706703537751702,63.296,0,0,48094,364,3731456,548864,43446907,620528,185.29,109.81,0.02,0.07,3.1256851200603153
14-6-2021 19:14:24,1623712464.7644343,1500.0,84.2,600.39,236.84,2014.07,12.2,31437424,25484656,0.001676880245112352,0.0005677786533610323,65.731,0,0,49128,366,3731456,548864,43524899,622858,190.73,113.94,0.02,0.07,3.085210334958608
14-6-2021 19:14:29,1623712469.767366,1500.0,88.4,610.08,242.77,2018.66,12.2,32218635,25674596,0.0015615064591416546,0.0003796573996645796,66.218,0,0,50162,368,3731456,548864,43602874,625188,195.96,118.35,0.02,0.07,3.124792293918366
14-6-2021 19:14:34,1623712474.770565,1500.0,57.7,619.62,248.63,2023.55,12.3,33013342,26424849,0.0015883977112193517,0.0014995465599717283,65.731,0,0,51203,371,3731456,548864,43682326,628683,200.53,121.86,0.02,0.07,3.082730262342081
14-6-2021 19:14:39,1623712479.7744582,1500.0,85.9,627.67,255.05,2030.09,12.3,33643041,26587856,0.0012584181611445748,0.00032576035406391574,65.244,0,0,52240,372,3731456,548864,43759454,629848,204.95,125.7,0.02,0.07,3.124048272133408
14-6-2021 19:14:44,1623712484.7782407,1500.0,75.8,636.42,261.13,2036.3,12.3,34386180,26762775,0.0014851544774425209,0.0003495735468596969,64.757,0,0,53279,374,3731456,548864,43837749,632178,209.21,129.45,0.02,0.07,3.124445083752052
14-6-2021 19:14:49,1623712489.7805855,1500.0,83.1,645.56,267.08,2042.77,12.2,35076558,26934065,0.0013801087712933698,0.0003424194157908295,64.27,0,0,54318,376,3731456,548864,43916066,634508,213.36,133.0,0.02,0.07,3.1273219679872226
14-6-2021 19:14:54,1623712494.7846708,1500.0,75.2,654.66,273.11,2048.65,12.2,35920147,27128649,0.0016858005989693003,0.0003888502858024966,65.731,0,0,55359,379,3731456,548864,43995546,638003,218.13,137.04,0.02,0.07,3.123998670681077
14-6-2021 19:14:59,1623712499.7884433,1500.0,89.7,665.09,278.7,2053.26,12.2,36703478,27528920,0.0015654808455858372,0.0007999384468934443,66.218,0,0,56398,381,3731456,548864,44073837,640333,223.65,141.02,0.02,0.07,3.120030554494636
14-6-2021 19:15:4,1623712504.7925189,1500.0,55.0,674.72,283.84,2059.3,12.3,37511274,28001414,0.001614276194694895,0.0009442183624778654,65.244,0,0,57439,384,3731456,548864,44153313,643828,228.04,144.39,0.02,0.07,3.1209729820889156
14-6-2021 19:15:9,1623712509.7963862,1500.0,60.0,685.1,288.63,2065.03,12.3,38343849,28741777,0.0016638630392856477,0.0014795815768605112,66.218,0,0,58478,386,3731456,548864,44231615,646158,233.73,147.49,0.02,0.07,3.1095150466005648
14-6-2021 19:15:14,1623712514.7968855,1500.0,75.1,694.97,293.79,2070.44,12.2,39178983,28923247,0.0016701012408905781,0.0003629037641676823,66.218,0,0,59517,388,3731456,548864,44309914,648488,238.7,151.54,0.02,0.07,3.1284131999384943
14-6-2021 19:15:19,1623712519.8035812,1500.0,86.5,705.4,299.43,2074.84,12.3,39971367,29108549,0.0015826485969621142,0.00037010836957115955,65.731,0,0,60556,390,3731456,548864,44388225,650818,244.06,155.45,0.02,0.07,3.128115591224511
14-6-2021 19:15:24,1623712524.8074558,1500.0,80.5,715.16,304.78,2080.01,12.3,40835503,29303152,0.0017269337850808453,0.0003889046346617752,66.705,0,0,61597,393,3731456,548864,44467709,654313,249.15,159.71,0.02,0.07,3.126677149106926
