time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
29-5-2021 18:44:57,1622328297.1129575,1500.0,89.3,899.41,325.83,1773.32,11.6,30348469,24303578,0.00062066109194397,0.0003474509369880799,0,0,363.58,139.08,0.02,0.07,3.1410119688304476,69264,483,175116288,643072,47617389,773053
29-5-2021 18:45:2,1622328302.1158152,1500.0,92.5,911.91,331.21,1775.27,11.5,30789933,24606479,0.0008824236622116437,0.000605455959506481,0,0,368.81,141.84,0.02,0.07,3.1460217155158303,70293,487,175116288,643072,47696807,777713
29-5-2021 18:45:7,1622328307.1189525,1500.0,91.9,924.98,335.99,1777.3,11.5,31207128,24807582,0.0008338667736018263,0.0004019537860512424,0,0,374.56,144.13,0.02,0.07,3.142797621114346,71318,489,175116288,643072,47773885,780043
29-5-2021 18:45:12,1622328312.129709,1500.0,89.2,938.35,340.61,1779.14,11.6,31569703,24999534,0.0007235933347277842,0.00038307988081822417,0,0,380.95,146.14,0.02,0.07,3.097858705302891,72345,492,175116288,643072,47852121,783538
29-5-2021 18:45:17,1622328317.1430078,1500.0,84.6,950.9,345.77,1781.27,11.5,32009168,25199625,0.0008765984672401339,0.0003991204394173498,0,0,386.38,148.61,0.02,0.07,3.0976602994935694,73366,495,175116288,643072,47930038,787033
29-5-2021 18:45:22,1622328322.1479518,1500.0,88.2,964.24,350.77,1782.56,11.5,32450226,25401535,0.000881244610158879,0.00040342109028104983,0,0,393.57,151.81,0.02,0.07,3.1377382729766325,74389,499,175116288,643072,48009137,791693
29-5-2021 18:45:27,1622328327.1557546,1500.0,82.9,977.31,355.32,1784.48,11.5,32919658,25598514,0.0009374011433630541,0.0003933441687369226,0,0,399.57,153.75,0.02,0.07,3.0980075096598827,75408,501,175116288,643072,48085886,794023
29-5-2021 18:45:32,1622328332.159863,1500.0,89.1,989.84,360.31,1786.72,11.4,33168299,25788454,0.0004968737259194829,0.00037956811427377864,0,0,404.91,156.43,0.02,0.07,3.1392759179988787,76429,504,175116288,643072,48163813,797518
29-5-2021 18:45:37,1622328337.162047,1500.0,95.2,1000.99,365.3,1790.15,11.5,33493428,25978563,0.0006499741024676035,0.0003800519998093484,0,0,410.33,159.51,0.02,0.07,3.1409127659257865,77450,507,175116288,643072,48241742,801013
29-5-2021 18:45:42,1622328342.1630898,1500.0,98.5,1014.77,370.14,1791.47,11.5,33897820,26183468,0.000808615348250711,0.0004097245443364655,0,0,416.96,161.74,0.02,0.07,3.1445832733982453,78471,510,175116288,643072,48319690,804508
