time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
26-5-2021 19:50:4,1622073004.5930297,1500.0,61.2,8654.8,3455.39,23085.96,11.1,240415767,255659860,0.0002841374298357166,0.00037583934372036146,0,0,52635,378,0,561152,46036463,632610,190.06,130.42,0.0,0.02,3.141061570282778
26-5-2021 19:50:9,1622073009.5969434,1500.0,66.0,8664.22,3460.94,23090.88,11.2,240555200,255848247,0.0002786478944364941,0.0003764793190220953,0,0,53658,381,0,561152,46113731,636105,196.05,135.37,0.0,0.02,3.0974122922319167
26-5-2021 19:50:14,1622073014.6008189,1500.0,70.5,8672.65,3466.23,23096.94,11.1,240696236,256035685,0.0002818535356625464,0.00037458565910488366,0,0,54681,384,0,561152,46190959,639598,201.3,139.99,0.0,0.02,3.1287604101048077
26-5-2021 19:50:19,1622073019.6022322,1500.0,53.4,8680.92,3470.99,23103.8,11.1,240830556,256203762,0.00026856408524049256,0.0003360590065140431,0,0,55702,386,0,561152,46267048,641926,206.03,144.07,0.0,0.02,3.1010331982520447
26-5-2021 19:50:24,1622073024.6026719,1500.0,61.2,8688.78,3475.77,23110.98,11.1,240962190,256369947,0.0002632448532033297,0.00033234077768354184,0,0,56723,388,0,561152,46343171,644256,210.67,148.29,0.0,0.02,3.1124415322880656
26-5-2021 19:50:29,1622073029.6065292,1500.0,86.4,8697.04,3480.9,23117.33,11.1,241096545,256544295,0.0002685028568019772,0.00034842719718440786,0,0,57750,390,0,561152,46419576,646586,215.41,152.79,0.0,0.02,3.1481049765137126
26-5-2021 19:50:34,1622073034.6104395,1500.0,73.9,8706.34,3486.07,23122.55,11.1,241239041,256737891,0.0002847692931491404,0.00038688942901204937,0,0,58781,394,0,561152,46498332,651246,221.43,157.27,0.0,0.02,3.1419047949723966
26-5-2021 19:50:39,1622073039.6147547,1500.0,60.3,8715.73,3491.54,23127.56,11.1,241380263,256926014,0.0002822004532278552,0.00037592156932052934,0,0,59810,397,0,561152,46575921,654741,227.28,162.18,0.0,0.02,3.150535447677908
26-5-2021 19:50:44,1622073044.621727,1500.0,66.7,8724.95,3497.03,23132.61,11.1,241519348,257114065,0.0002777826424981491,0.000375578270154362,0,0,60839,400,0,561152,46653492,658236,233.33,167.09,0.0,0.02,3.0953290312340345
26-5-2021 19:50:49,1622073049.6238859,1500.0,69.1,8733.96,3502.16,23138.12,11.1,241660352,257301535,0.00028188628825282435,0.0003747781797591343,0,0,61868,403,0,561152,46731043,661731,238.7,171.6,0.0,0.02,3.1403671499501504
26-5-2021 19:50:54,1622073054.6277692,1500.0,74.0,8743.05,3507.74,23143.17,11.1,241800654,257488552,0.0002803862317627453,0.0003737437235789464,0,0,62897,406,0,561152,46808634,665226,244.4,176.49,0.0,0.02,3.152271498509476
26-5-2021 19:50:59,1622073059.6346183,1500.0,67.0,8752.32,3513.24,23148.24,11.1,241942264,257677616,0.00028283257308354514,0.00037761074498599944,0,0,63926,409,0,561152,46886232,668721,250.57,181.48,0.0,0.02,3.1702768257054563
26-5-2021 19:51:4,1622073064.6397488,1500.0,71.4,8762.81,3518.23,23152.64,11.1,242081710,257864837,0.00027860612062122116,0.00037405817670514496,0,0,64955,412,0,561152,46963811,672216,257.23,185.95,0.0,0.02,3.0990987416111544
26-5-2021 19:51:9,1622073069.6417022,1500.0,66.8,8771.85,3523.88,23157.7,11.1,242221975,258057710,0.00028042044739124886,0.00038559535842649516,0,0,65984,415,0,561152,47041390,675711,263.12,191.07,0.0,0.02,3.1541563536980366
26-5-2021 19:51:14,1622073074.6455152,1500.0,83.5,8781.46,3529.16,23162.65,11.1,242363908,258249720,0.000283649687141111,0.00038372736733504345,0,0,67013,418,0,561152,47118985,679204,268.94,195.65,0.0,0.02,3.153362730460748
26-5-2021 19:51:19,1622073079.649366,1500.0,29.4,8789.31,3533.92,23169.7,11.1,242499964,258425109,0.0002719025970170773,0.00035050805982998306,0,0,68042,421,0,561152,47196558,682699,273.55,199.61,0.0,0.02,3.152817114485112
26-5-2021 19:51:24,1622073084.6516998,1500.0,30.7,8797.31,3538.07,23177.53,11.2,242731302,258686716,0.0004624601347570831,0.0005229698902618516,0,0,69074,423,0,561152,47273276,685029,278.02,203.25,0.0,0.02,3.0987019299925103
26-5-2021 19:51:29,1622073089.6555276,1500.0,80.1,8806.46,3543.46,23182.86,11.1,242866509,258863227,0.00027020713966620727,0.0003527519464940566,0,0,70106,425,0,561152,47349988,687357,283.42,208.22,0.0,0.02,3.1570332379332067
26-5-2021 19:51:34,1622073094.6593127,1500.0,70.1,8815.28,3549.18,23188.19,11.2,243013752,259064446,0.00029426323488249807,0.00040213357415850925,0,0,71142,429,0,561152,47428986,692017,288.76,213.1,0.0,0.02,3.1066381623653943
26-5-2021 19:51:39,1622073099.6617367,1500.0,60.4,8824.46,3554.69,23193.43,11.2,243153563,259251130,0.0002794865048477751,0.00037318707877779324,0,0,72171,432,0,561152,47506557,695512,294.05,217.8,0.0,0.02,3.1541067522457054
26-5-2021 19:51:44,1622073104.6656747,1500.0,78.8,8833.19,3559.8,23199.39,11.1,243287742,259427358,0.0002681468097354698,0.00035217862695401196,0,0,73198,434,0,561152,47582943,697842,299.71,222.55,0.0,0.02,3.1548507740306637
26-5-2021 19:51:49,1622073109.669514,1500.0,84.2,8842.14,3565.3,23204.74,11.1,243427029,259615897,0.00027836026082991866,0.00037678868248014556,0,0,74227,437,0,561152,47660514,701337,305.36,227.12,0.0,0.02,3.151924288343163
26-5-2021 19:51:54,1622073114.6717477,1500.0,86.1,8850.76,3570.95,23210.29,11.1,243566638,259804540,0.0002790933154148044,0.00037711752322411123,0,0,75256,440,0,561152,47738065,704830,310.55,232.25,0.0,0.02,3.1541563536980366
26-5-2021 19:51:59,1622073119.6756225,1500.0,67.3,8859.58,3575.76,23216.41,11.1,243706978,259986888,0.0002804626538538726,0.00036441359558889814,0,0,76285,443,0,561152,47815618,708325,316.21,236.67,0.0,0.02,3.1542555566026973
26-5-2021 19:52:4,1622073124.6794329,1500.0,75.2,8868.92,3581.62,23221.13,11.1,243847121,260175579,0.0002800725619809351,0.0003770946232972366,0,0,77314,446,0,561152,47893178,711820,322.22,241.81,0.0,0.02,3.158719687312445
26-5-2021 19:52:9,1622073129.6817098,1500.0,84.6,8877.83,3587.5,23226.31,11.1,243987105,260365712,0.00027984056634671156,0.00038009291348439333,0,0,78338,449,0,561152,47970426,715315,327.68,246.93,0.0,0.02,3.1604061366916825
26-5-2021 19:52:14,1622073134.6855133,1500.0,88.0,8886.58,3593.12,23231.77,11.1,244129437,260557439,0.00028444762117287774,0.00038316252890855415,0,0,79362,452,0,561152,48047712,718810,332.95,251.68,0.0,0.02,3.154751571126003
26-5-2021 19:52:19,1622073139.6893995,1500.0,57.5,8894.9,3597.76,23238.74,11.1,244265587,260729689,0.00027208852067532504,0.00034423244720032856,0,0,80386,455,0,561152,48124958,722305,337.67,255.52,0.0,0.02,3.1058445391281055
26-5-2021 19:52:24,1622073144.6917038,1500.0,69.5,8902.99,3603.07,23245.23,11.1,244399966,260901000,0.00026863419640787685,0.0003424641708959718,0,0,81408,457,0,561152,48201065,724635,342.37,260.39,0.0,0.02,3.158967694574097
26-5-2021 19:52:29,1622073149.6929681,1500.0,85.0,8911.23,3608.05,23251.79,11.1,244530167,261070513,0.0002603361696401786,0.0003389402932712928,0,0,82432,460,0,561152,48278331,728130,347.2,264.63,0.0,0.02,3.1553963900062993
26-5-2021 19:52:34,1622073154.6968338,1500.0,60.4,8920.07,3613.44,23257.35,11.1,244674543,261264865,0.0002885289256591493,0.0003884037080934988,0,0,83451,463,0,561152,48355309,731625,352.79,269.38,0.0,0.02,3.147509759085746
